artist,song,time,bpm,year,genre,details,album,track num
The Mighty Mighty Bosstones,Break So Easily,2:44,133.7,1997,Rock,../track/MTYBOSST_LFI/MTYBOSST_LFI-09.html,Let's Face It,9
France Joli,Breakaway [Junior's Vocal Mix],3:48,128.0,1997,Dance 1990s,../track/ALLSTARS_097/ALLSTARS_097-17.html,Dance All Stars 97,17
France Joli,Breakaway,5:12,131.3,1997,Pop,../track/HOTTRACK_056/HOTTRACK_056-01.html,Hott Tracks 056,1
She Moves,Breaking All the Rules,3:37,110.0,1997,Pop,../track/HOTTRACK_055/HOTTRACK_055-12.html,Hott Tracks 055,12
Prodigy,Breathe,3:59,130.0,1997,Electronica/Rock,../track/BIGSHINY_002/BIGSHINY_002-01.html,Big Shiny Tunes 2,1
Prodigy,Breathe,4:00,130.0,1997,Electronica,../track/HOTTRACK_048/HOTTRACK_048-10.html,Hott Tracks 048,10
Prodigy,Breathe,3:58,130.0,1997,Electronica,../track/POBO1997_005/POBO1997_005-12.html,Promo Only - Best of 1997 - Disc 5,12
Ben Folds Five,Brick,4:43,97.6,1997,Rock,../track/BENFOLD5_WEA/BENFOLD5_WEA-03.html,Whatever and Ever Amen,3
Ben Folds Five,Brick,4:29,97.5,1997,Rock,../track/HOTTROCK_024/HOTTROCK_024-04.html,Hott Rocks 024,4
Vibrolush,Bridge Over Me,3:57,95.6,1997,Rock,../track/HOTTROCK_017/HOTTROCK_017-05.html,Hott Rocks 017,5
Cornershop,Brimful Of Asha,5:15,110.1,1997,Rock/Pop,../track/CORNRSHP_7TH/CORNRSHP_7TH-02.html,When I Was Borth For The 7th Time,2
Cornershop,Brimful of Asha,4:05,125.7,1997,Electronica/Pop,../track/ESSENTLS_015/ESSENTLS_015-15.html,The Essential Series (UK) 15,15
Cornershop,Brimful of Asha,4:03,110.1,1997,Rock/Pop,../track/HOTTRACK_057/HOTTRACK_057-13.html,Hott Tracks 057,13
Love Inc.,Broken Bones [Groove Station Edit],5:22,132.0,1997,Fast Dance,../track/HOTTRACK_060/HOTTRACK_060-15.html,Hott Tracks 060,15
Rick McGhie,Brown Eyed Girl [Live],3:17,147.1,1997,Easy,../track/RKMCGHIE_LV1/RKMCGHIE_LV1-05.html,Rick McGhie,5
Ry Cooder,Buena Vista Social Club,4:52,102.8,1997,World,../track/BUENAVSC_STD/BUENAVSC_STD-13.html,Buena Vista Social Club,13
Madonna,Buenos Aires,5:21,127.0,1997,Pop,../track/HOTTRACK_054/HOTTRACK_054-10.html,Hott Tracks 054,10
Sarah McLachlan,Building a Mystery,4:04,162.0,1997,Rock/Pop,../track/HOTTROCK_018/HOTTROCK_018-01.html,Hott Rocks 018,1
Sarah McLachlan,Building a Mystery,4:04,162.1,1997,Rock/Pop,../track/POBO1997_001/POBO1997_001-03.html,Promo Only - Best of 1997 - Disc 1,3
Duran Duran,Buried in Sand,4:19,100.1,1997,Rock/Pop,../track/DURNDURN_MED/DURNDURN_MED-08.html,Medazzaland,8
Daft Punk,Burnin',6:53,124.3,1997,Electronica,../track/DAFTPUNK_HMW/DAFTPUNK_HMW-13.html,Homework,13
Daft Punk,Burnin',6:53,124.3,1997,Electronica,../track/HOTTRACK_056/HOTTRACK_056-02.html,Hott Tracks 056,2
The Crystal Method,Busy Child,4:04,125.0,1997,Electronica,../track/HOTTRACK_057/HOTTRACK_057-06.html,Hott Tracks 057,6
Next,Butta Love [Radio Edit],3:59,108.0,1997,Pop,../track/HOTTRACK_055/HOTTRACK_055-11.html,Hott Tracks 055,11
Cornershop,Butter The Soul,3:18,84.7,1997,Rock,../track/CORNRSHP_7TH/CORNRSHP_7TH-03.html,When I Was Borth For The 7th Time,3
